
adc_clk_f should be 600000, is 600000 . sample_f should be 8000, is 8000. hclk is 48000000
939, -115, 29
940, -63, -23
941, -110, -28
942, -77, 13
943, -85, 1
944, -91, -17
945, -87, 15
946, -112, 17
947, -79, -30
948, -91, -19
949, -92, 24
950, -91, -8
951, -81, -40
952, -100, 20
953, -89, 51
954, -73, -20
955, -109, -52
956, -59, 5
957, -83, 17
958, -94, -22
959, -53, -2
960, -85, 38
961, -65, 6
962, -31, -31
963, -76, -13
964, -23, -5
965, -56, -14
966, -21, 19
967, -21, 40
968, -31, -7
969, 25, -37
970, -11, 0
971, 20, 11
972, 23, -19
973, 34, 1
974, 63, 46
975, 9, 7
976, 82, -49
977, 61, -9
978, 30, 45
979, 99, 6
980, 63, -33
981, 75, 6
982, 121, 32
983, 85, -5
984, 91, -23
985, 119, 11
986, 97, 28
987, 81, 1
988, 121, -18
989, 127, -5
990, 92, 15
991, 130, 14
992, 93, -8
993, 132, -4
994, 105, 35
995, 114, 25
996, 123, -47
997, 71, -51
998, 165, 46
999, 79, 76
1000, 103, -12
1001, 102, -59
1002, 74, 6
1003, 90, 45
1004, 59, -5
1005, 72, -33
1006, 54, 8
1007, 39, 34
1008, 45, 2
1009, 48, -20
1010, 44, 5
1011, -5, 14
1012, 29, -20
1013, 25, -24
1014, 10, 32
1015, 4, 42
1016, -6, -30
1017, 15, -50
1018, 5, 32
1019, -16, 54
1020, 37, -34
1021, -27, -60
1022, 2, 25
1023, 20, 54
1024, -7, -7
1025, 28, -26
1026, -16, 4
1027, 46, -2
1028, 15, -14
1029, -3, 12
1030, 51, 14
1031, 5, -5
1032, 35, 11
1033, 36, 14
1034, 23, -34
1035, 58, -29
1036, -6, 37
1037, 69, 32
1038, 50, -22
1039, 30, 0
1040, 60, 22
1041, 49, -31
1042, 48, -33
1043, 79, 56
1044, 21, 44
1045, 75, -59
1046, 44, -37
1047, 21, 58
1048, 45, 21
1049, 42, -46
1050, 37, 12
1051, 29, 45
1052, -3, -49
1053, 28, -58
1054, 38, 72
1055, -31, 82
1056, 11, -59
1057, -31, -90
1058, -9, 30
1059, -46, 65
1060, -39, -14
1061, -53, -40
1062, -43, 14
1063, -85, 27
1064, -75, -21
1065, -78, -40
1066, -89, 9
1067, -126, 42
1068, -91, -1
1069, -130, -52
1070, -135, -15
1071, -101, 48
1072, -150, 17
1073, -134, -55
1074, -149, -35
1075, -167, 32
1076, -141, 25
1077, -161, -20
1078, -183, -20
1079, -132, 0
1080, -182, -5
1081, -153, -9
1082, -153, -2
1083, -179, -2
1084, -137, 0
1085, -151, 8
1086, -161, -13
1087, -133, -36
1088, -147, -4
1089, -143, 31
1090, -109, 6
1091, -123, -25
1092, -114, -10
1093, -92, 1
1094, -110, -14
1095, -85, -3
1096, -89, 24
1097, -103, 3
1098, -51, -29
1099, -91, -8
1100, -35, 17
1101, -77, -7
1102, -31, -17
1103, -48, 14
1104, -49, 18
1105, -15, -15
1106, -31, -17
1107, -21, 7
1108, 13, 4
1109, -23, -9
1110, 23, 4
1111, -9, 10
1112, 27, -2
1113, 1, -3
1114, 39, 6
1115, 41, -2
1116, 27, -10
1117, 41, 0
1118, 40, 4
1119, 79, 15
1120, 45, 28
1121, 65, -3
1122, 79, -52
1123, 73, -16
1124, 71, 57
1125, 95, 32
1126, 87, -35
1127, 82, -11
1128, 114, 36
1129, 64, -8
1130, 121, -40
1131, 91, 25
1132, 115, 57
1133, 123, -12
1134, 80, -49
1135, 147, 4
1136, 91, 40
1137, 98, 14
1138, 130, -10
1139, 82, -10
1140, 136, 0
1141, 106, 11
1142, 94, 3
1143, 132, -8
1144, 80, 17
1145, 134, 42
1146, 92, -8
1147, 119, -57
1148, 111, -7
1149, 63, 50
1150, 137, 20
1151, 63, -11
1152, 101, 17
1153, 88, 7
1154, 67, -47
1155, 81, -25
1156, 77, 53
1157, 39, 42
1158, 47, -26
1159, 41, -24
1160, 24, 19
1161, 42, 9
1162, 4, -21
1163, 19, -13
1164, 10, 11
1165, -7, 22
1166, 5, 12
1167, -17, -14
1168, -20, -25
1169, -22, 2
1170, -41, 16
1171, -1, -7
1172, -49, -11
1173, -50, 12
1174, -17, 5
1175, -62, -13
1176, -33, 7
1177, -62, 11
1178, -59, -32
1179, -34, -28
1180, -62, 38
1181, -35, 35
1182, -45, -33
1183, -61, -30
1184, -35, 25
1185, -90, 7
1186, -27, -30
1187, -38, 6
1188, -70, 32
1189, -45, -28
1190, -39, -44
1191, -21, 41
1192, -41, 63
1193, -94, -45
1194, 3, -85
1195, -93, 22
1196, -49, 82
1197, -46, -9
1198, -88, -70
1199, -85, -4
1200, -74, 48
1201, -97, 2
1202, -81, -34
1203, -113, -8
1204, -74, 8
1205, -104, -5
1206, -90, -3
1207, -90, 5
1208, -108, 0
1209, -84, 0
1210, -82, -1
1211, -105, -22
1212, -79, -24
1213, -85, 15
1214, -77, 32
1215, -93, -3
1216, -43, -22
1217, -91, -4
1218, -59, -4
1219, -73, -21
1220, -74, 0
1221, -67, 31
1222, -59, 17
1223, -64, -21
1224, -45, -27
1225, -53, -6
1226, -61, 2
1227, -53, 4
1228, -39, 13
1229, -41, 15
1230, -47, -8
1231, -42, -35
1232, 5, -17
1233, -29, 33
1234, -10, 32
1235, 39, -22
1236, -19, -34
1237, 23, 13
1238, 29, 25
1239, 9, -9
1240, 35, -8
1241, -14, 12
1242, 60, -4
1243, 11, -15
1244, 38, 18
1245, 29, 16
1246, 4, -26
1247, 36, -9
1248, 29, 42
1249, -10, 9
1250, 31, -53
1251, 10, -17
1252, 4, 49
1253, 22, 23
1254, 7, -29
1255, 15, -11
1256, 12, 17
1257, 22, -2
1258, -9, -20
1259, 37, 4
1260, 36, 28
1261, -15, 11
1262, 40, -25
1263, 11, -28
1264, 22, 20
1265, 9, 43
1266, -23, -17
1267, 29, -57
1268, -13, 17
1269, -9, 70
1270, 11, -17
1271, -34, -77
1272, 14, 17
1273, -3, 79
1274, -8, -14
1275, 7, -75
1276, 12, 8
1277, -22, 58
1278, 31, -4
1279, -12, -34
1280, 12, 12
1281, 12, 18
1282, 22, -16
1283, 34, -12
1284, 32, 11
1285, -2, 3
1286, 60, 0
1287, -7, 13
1288, 19, 3
1289, 54, -15
1290, 11, -1
1291, 31, 3
1292, 33, -17
1293, 15, 0
1294, 37, 46
1295, -7, 22
1296, 22, -45
1297, 16, -35
1298, 21, 30
1299, 25, 22
1300, 5, -29
1301, 24, -9
1302, 39, 48
1303, -10, 25
1304, 19, -45
1305, 16, -46
1306, 4, 21
1307, -1, 41
1308, -17, -10
1309, 3, -30
1310, -11, 23
1311, -34, 43
1312, -17, -31
1313, -39, -68
1314, -31, 13
1315, -41, 69
1316, -63, -5
1317, -34, -58
1318, -50, 14
1319, -48, 58
1320, -57, -26
1321, -71, -78
1322, -51, 6
1323, -80, 71
1324, -37, 15
1325, -73, -48
1326, -47, -23
1327, -56, 16
1328, -35, 11
1329, -43, -7
1330, -69, -12
1331, -12, -1
1332, -43, 17
1333, -41, 11
1334, -9, -25
1335, -62, -27
1336, -9, 22
1337, -33, 32
1338, -15, -16
1339, -20, -31
1340, -26, 7
1341, -29, 12
1342, -11, -7
1343, -29, 9
1344, -27, 18
1345, -25, -24
1346, -61, -42
1347, -17, 12
1348, -72, 42
1349, -25, 8
1350, -69, -22
1351, -67, -19
1352, -38, -12
1353, -57, 6
1354, -58, 24
1355, -63, -3
1356, -64, -32
1357, -56, 5
1358, -66, 36
1359, -65, -14
1360, -55, -49
1361, -67, 8
1362, -77, 38
1363, -44, -14
1364, -101, -29
1365, -10, 27
1366, -73, 26
1367, -73, -42
1368, -37, -49
1369, -78, 22
1370, -30, 57
1371, -56, 11
1372, -60, -43
1373, -5, -38
1374, -70, 14
1375, -31, 31
1376, -4, -6
1377, -65, -18
1378, -15, 15
1379, -27, 10
1380, -24, -30
1381, -38, -18
1382, 5, 35
1383, -33, 21
1384, 6, -27
1385, -19, -20
1386, 16, 15
1387, -29, 6
1388, 21, -4
1389, 18, 12
1390, -17, 6
1391, 26, -25
1392, 17, -17
1393, 22, 24
1394, 7, 25
1395, 13, -12
1396, 28, -18
1397, 9, 12
1398, 28, 13
1399, -7, -23
1400, 21, -23
1401, 22, 28
1402, -33, 40
1403, 16, -19
1404, -33, -48
1405, -12, 9
1406, -17, 44
1407, -44, -9
1408, -18, -47
1409, -52, 5
1410, -57, 42
1411, -52, -3
1412, -56, -32
1413, -73, 4
1414, -67, 14
1415, -87, -28
1416, -70, -23
1417, -90, 32
1418, -80, 35
1419, -74, -19
1420, -97, -38
1421, -79, -10
1422, -83, 7
1423, -73, 11
1424, -79, 10
1425, -91, -8
1426, -28, -15
1427, -42, 13
1428, -87, 8
1429, -7, -42
1430, -55, -24
1431, -11, 63
1432, -29, 46
1433, -19, -65
1434, -23, -65
1435, -12, 49
1436, 13, 65
1437, -19, -30
1438, 8, -50
1439, 5, 13
1440, 16, 28
1441, 27, -1
